geowebcache.json,writeTile,/home/wangzhi/repos/geowebcache/geowebcache/core/src/main/java/org/geowebcache/util/ResponseUtils.java,    public static void writeTile(<sep>            SecurityDispatcher secDispatcher@&<sep>            Conveyor conv@&<sep>            String layerName@&<sep>            TileLayerDispatcher tileLayerDispatcher@&<sep>            DefaultStorageFinder defaultStorageFinder@&<sep>            RuntimeStats runtimeStats)<sep>            throws GeoWebCacheException@& RequestFilterException@& IOException {<sep>        ConveyorTile convTile = (ConveyorTile) conv;<sep><sep>        // Get the configuration that has to respond to this request<sep>        TileLayer layer = tileLayerDispatcher.getTileLayer(layerName);<sep><sep>        // Apply the filters<sep>        layer.applyRequestFilters(convTile);<sep><sep>        // Throw an exception if not authorized<sep>        secDispatcher.checkSecurity(convTile);<sep><sep>        // Keep the URI<sep>        // tile.requestURI = request.getRequestURI();<sep><sep>        try {<sep>            // A5) Ask the layer to provide the content for the tile<sep>            convTile = layer.getTile(convTile);<sep><sep>            // A6) Write response<sep>            writeData(convTile@& runtimeStats);<sep><sep>            // Alternatively:<sep>        } catch (OutsideCoverageException e) {<sep>            writeEmpty(defaultStorageFinder@& convTile@& e.getMessage()@& runtimeStats);<sep>        }<sep>    },// Throw an exception if not authorized,LineComment,secDispatcher.checkSecurity(convTile);,( expressionstatement ( methodinvocation ( simplename secdispatcher ) simplename ( simplename checksecurity ) simplename ( simplename convtile ) simplename ) methodinvocation ) expressionstatement,@&convTile@&secDispatcher@&checkSecurity,&&ExpressionStatement
jpcsp.json,sbrHfCalcNpatches,/home/wangzhi/repos/jpcsp/src/jpcsp/media/codec/aac/AacSbr.java,"private static int sbrHfCalcNpatches(Context ac@& SpectralBandReplication sbr) {<sep>	    int msb = sbr.k[0];<sep>	    int usb = sbr.kx[1];<sep>	    int goal_sb = ((1000 << 11) + (sbr.sampleRate >> 1)) / sbr.sampleRate;<sep><sep>	    sbr.numPatches = 0;<sep><sep>	    int k;<sep>	    if (goal_sb < sbr.kx[1] + sbr.m[1]) {<sep>	        for (k = 0; sbr.fMaster[k] < goal_sb; k++) {<sep>	        }<sep>	    } else {<sep>	        k = sbr.nMaster;<sep>	    }<sep><sep>        int sb = 0;<sep>	    do {<sep>	        int odd = 0;<sep>	        for (int i = k; i == k || sb > (sbr.k[0] - 1 + msb - odd); i--) {<sep>	            sb = sbr.fMaster[i];<sep>	            odd = (sb + sbr.k[0]) & 1;<sep>	        }<sep><sep>	        // Requirements (14496-3 sp04 p205) sets the maximum number of patches to 5.<sep>	        // After this check the final number of patches can still be six which is<sep>	        // illegal however the Coding Technologies decoder check stream has a final<sep>	        // count of 6 patches<sep>	        if (sbr.numPatches > 5) {<sep>	        	log.error(String.format(""Too many patches: %d""@& sbr.numPatches));<sep>	            return -1;<sep>	        }<sep><sep>	        sbr.patchNumSubbands[sbr.numPatches]  = Math.max(sb - usb@& 0);<sep>	        sbr.patchStartSubband[sbr.numPatches] = sbr.k[0] - odd - sbr.patchNumSubbands[sbr.numPatches];<sep><sep>	        if (sbr.patchNumSubbands[sbr.numPatches] > 0) {<sep>	            usb = sb;<sep>	            msb = sb;<sep>	            sbr.numPatches++;<sep>	        } else<sep>	            msb = sbr.kx[1];<sep><sep>	        if (sbr.fMaster[k] - sb < 3) {<sep>	            k = sbr.nMaster;<sep>	        }<sep>	    } while (sb != sbr.kx[1] + sbr.m[1]);<sep><sep>	    if (sbr.numPatches > 1 && sbr.patchNumSubbands[sbr.numPatches-1] < 3) {<sep>	        sbr.numPatches--;<sep>	    }<sep><sep>	    return 0;<sep>	}",// Requirements (14496-3 sp04 p205) sets the maximum number of patches to 5.<sep>// After this check the final number of patches can still be six which is<sep>// illegal however the Coding Technologies decoder check stream has a final<sep>// count of 6 patches,UnionLineComment,"if (sbr.numPatches > 5) {<sep>  log.error(String.format(""Too many patches: %d""@&sbr.numPatches));<sep>  return -1;<sep>}",( ifstatement ( infixexpression ( qualifiedname ( simplename sbr ) simplename ( simplename numpatches ) simplename ) qualifiedname ( numberliteral ) numberliteral ) infixexpression ( block ( expressionstatement ( methodinvocation ( simplename log ) simplename ( simplename error ) simplename ( methodinvocation ( simplename string ) simplename ( simplename format ) simplename ( stringliteral ) stringliteral ( qualifiedname ( simplename sbr ) simplename ( simplename numpatches ) simplename ) qualifiedname ) methodinvocation ) methodinvocation ) expressionstatement ( returnstatement ( prefixexpression ( numberliteral ) numberliteral ) prefixexpression ) returnstatement ) block ) ifstatement,@&sbr@&log@&format@&String@&error@&numPatches,&&IfStatement
cdap.json,testIncrementsCompactionUnlimBound,/home/wangzhi/repos/cdap/cdap-data-fabric/src/test/java/io/cdap/cdap/data2/increment/hbase/AbstractIncrementHandlerTest.java,"@Test<sep>  public void testIncrementsCompactionUnlimBound() throws Exception {<sep><sep>    try (RegionWrapper region = createRegion(<sep>      TableId.from(NamespaceId.DEFAULT.getEntityName()@& ""testIncrementsCompactionsUnlimBound"")@&<sep>      Immutabl",// verify increments merged after flush,LineComment,assertSingleVersionColumn(region@&row1@&colA@&3);,( expressionstatement ( methodinvocation ( simplename assertsingleversioncolumn ) simplename ( simplename region ) simplename ( simplename row1 ) simplename ( simplename cola ) simplename ( numberliteral ) numberliteral ) methodinvocation ) expressionstatement,@&row1@&assertSingleVersionColumn@&region@&colA,&&ExpressionStatement
google-cloud-java.json,partitionedDML,/home/wangzhi/repos/google-cloud-java/google-cloud-clients/google-cloud-spanner/src/test/java/com/google/cloud/spanner/it/ITDMLTest.java,"@Test<sep>  public void partitionedDML() {<sep>    executeUpdate(DML_COUNT@& INSERT_DML);<sep>    assertThat(<sep>            client<sep>                .singleUse(TimestampBound.strong())<sep>                .readRow(""T""@& Key.of(""boo1"")@& Arrays.asList(",// Note: With PDML there is a possibility of network replay or partial update to occur@& causing<sep>// this assert to fail. We should remove this assert if it is a recurring failure in IT tests.,UnionLineComment,"assertThat(rowCount).isEqualTo(DML_COUNT);assertThat(client.singleUse(TimestampBound.strong()).readRow(""T""@&Key.of(""boo1"")@&Arrays.asList(""V"")).getLong(0)).isEqualTo(100);",( expressionstatement ( methodinvocation ( methodinvocation ( simplename assertthat ) simplename ( simplename rowcount ) simplename ) methodinvocation ( simplename isequalto ) simplename ( simplename dml_count ) simplename ) methodinvocation ) expressionstatement,@&DML_COUNT@&rowCount@&assertThat@&isEqualTo,&&ExpressionStatement&&ExpressionStatement
dcache.json,killMover,/home/wangzhi/repos/dcache/modules/dcache/src/main/java/org/dcache/util/Transfer.java,"    public void killMover(long millis@& String explanation)<sep>    {<sep>        if (!hasMover()) {<sep>            return;<sep>        }<sep><sep>        Integer moverId = getMoverId();<sep>        Pool pool = getPool();<sep>        setStatus(""Mover "" + pool + ""/"" + moverId + "": Killing mover"");<sep>        try {<sep>            /* Kill the mover.<sep>             */<sep>            PoolMoverKillMessage message =<sep>                    new PoolMoverKillMessage(pool.getName()@& moverId@& explanation);<sep>            message.setReplyRequired(false);<sep>            _poolStub.notify(new CellPath(pool.getAddress())@& message);<sep><sep>            /* To reduce the risk of orphans when using PNFS@& we wait<sep>             * for the transfer confirmation.<sep>             */<sep>            if (millis > 0 && !waitForMover(millis)) {<sep>                _log.error(""Failed to kill mover {}/{}: Timeout""@& pool@& moverId);<sep>            }<sep>        } catch (CacheException e) {<sep>            // Not surprising that the pool reported a failure<sep>            // when we killed the mover.<sep>            _log.debug(""Killed mover and pool reported: {}""@&<sep>                       e.getMessage());<sep>        } catch (InterruptedException e) {<sep>            _log.warn(""Failed to kill mover {}/{}: {}""@& pool@& moverId@& e.getMessage());<sep>            Thread.currentThread().interrupt();<sep>        } finally {<sep>            setStatus(null);<sep>        }<sep>    }",/* To reduce the risk of orphans when using PNFS@& we wait<sep>             * for the transfer confirmation.<sep>             */,BlockComment,"if (millis > 0 && !waitForMover(millis)) {<sep>  _log.error(""Failed to kill mover {}/{}: Timeout""@&pool@&moverId);<sep>}",( ifstatement ( infixexpression ( infixexpression ( simplename millis ) simplename ( numberliteral ) numberliteral ) infixexpression ( prefixexpression ( methodinvocation ( simplename waitformover ) simplename ( simplename millis ) simplename ) methodinvocation ) prefixexpression ) infixexpression ( block ( expressionstatement ( methodinvocation ( simplename _log ) simplename ( simplename error ) simplename ( stringliteral ) stringliteral ( simplename pool ) simplename ( simplename moverid ) simplename ) methodinvocation ) expressionstatement ) block ) ifstatement,@&waitForMover@&moverId@&pool@&_log@&millis@&error,&&IfStatement
platform_frameworks_base.json,onResult,/home/wangzhi/repos/platform_frameworks_base/services/core/java/com/android/server/accounts/AccountManagerService.java,@Override<sep>        public void onResult(Bundle result) {<sep>            Bundle.setDefusable(result@& true);<sep>            IAccountManagerResponse response = getResponseAndClose();<sep>            if (response != null) {<sep>                try {<sep,// if the caller is dead then there is no one to care about remote exceptions,LineComment,"if (Log.isLoggable(TAG@&Log.VERBOSE)) {<sep>  Log.v(TAG@&""failure while notifying response""@&e);<sep>}",( ifstatement ( methodinvocation ( simplename log ) simplename ( simplename isloggable ) simplename ( simplename tag ) simplename ( qualifiedname ( simplename log ) simplename ( simplename verbose ) simplename ) qualifiedname ) methodinvocation ( block ( expressionstatement ( methodinvocation ( simplename log ) simplename ( simplename v ) simplename ( simplename tag ) simplename ( stringliteral ) stringliteral ( simplename e ) simplename ) methodinvocation ) expressionstatement ) block ) ifstatement,@&isLoggable@&Log@&e@&v@&TAG@&VERBOSE,&&IfStatement
mage.json,XiahouDunTheOneEyed,/home/wangzhi/repos/mage/Mage.Sets/src/mage/cards/x/XiahouDunTheOneEyed.java,"public XiahouDunTheOneEyed(UUID ownerId@& CardSetInfo setInfo) {<sep>        super(ownerId@&setInfo@&new CardType[]{CardType.CREATURE}@&""{2}{B}{B}"");<sep>        addSuperType(SuperType.LEGENDARY);<sep>        this.subtype.add(SubType.HUMAN);<sep>        this.subtype.add(SubType.SOLDIER);<sep>        this.power = new MageInt(3);<sep>        this.toughness = new MageInt(2);<sep><sep>        // Horsemanship<sep>        this.addAbility(HorsemanshipAbility.getInstance());<sep><sep>        // Sacrifice Xiahou Dun@& the One-Eyed: Return target black card from your graveyard to your hand. Activate this ability only during your turn@& before attackers are declared.<sep>        Ability ability = new ActivateIfConditionActivatedAbility(Zone.BATTLEFIELD@&<sep>                new ReturnFromGraveyardToHandTargetEffect()@& new SacrificeSourceCost()@& MyTurnBeforeAttackersDeclaredCondition.instance);<sep>        ability.addTarget(new TargetCardInYourGraveyard(filter));<sep>        this.addAbility(ability);<sep>    }",// Sacrifice Xiahou Dun@& the One-Eyed: Return target black card from your graveyard to your hand. Activate this ability only during your turn@& before attackers are declared.,LineComment,Ability ability=new ActivateIfConditionActivatedAbility(Zone.BATTLEFIELD@&new ReturnFromGraveyardToHandTargetEffect()@&new SacrificeSourceCost()@&MyTurnBeforeAttackersDeclaredCondition.instance);ability.addTarget(new TargetCardInYourGraveyard(filter));this.addAbility(ability);,( variabledeclarationstatement ( simpletype ( simplename ability ) simplename ) simpletype ( variabledeclarationfragment ( simplename ability ) simplename ( classinstancecreation ( simpletype ( simplename activateifconditionactivatedability ) simplename ) simpletype ( qualifiedname ( simplename zone ) simplename ( simplename battlefield ) simplename ) qualifiedname ( classinstancecreation ( simpletype ( simplename returnfromgraveyardtohandtargeteffect ) simplename ) simpletype ) classinstancecreation ( classinstancecreation ( simpletype ( simplename sacrificesourcecost ) simplename ) simpletype ) classinstancecreation ( qualifiedname ( simplename myturnbeforeattackersdeclaredcondition ) simplename ( simplename instance ) simplename ) qualifiedname ) classinstancecreation ) variabledeclarationfragment ) variabledeclarationstatement,@&Ability@&instance@&BATTLEFIELD@&SacrificeSourceCost@&Zone@&MyTurnBeforeAttackersDeclaredCondition@&ability@&ActivateIfConditionActivatedAbility@&ReturnFromGraveyardToHandTargetEffect,&&VariableDeclarationStatement&&ExpressionStatement&&ExpressionStatement
stanbol.json,getHierarchy,/home/wangzhi/repos/stanbol/enhancement-engines/geonames/src/main/java/org/apache/stanbol/enhancer/engines/geonames/impl/GeonamesAPIWrapper.java,"public List<Toponym> getHierarchy(int geonameId) throws IOException {<sep>        StringBuilder requestString = new StringBuilder();<sep>        requestString.append(hierarchyServiceUrl);<sep>        Map<HierarchyRequestPorpertyEnum@& Collection<String>> requestProperties =<sep>                new EnumMap<HierarchyRequestPorpertyEnum@& Collection<String>>(HierarchyRequestPorpertyEnum.class);<sep>        requestProperties.put(HierarchyRequestPorpertyEnum.geonameId@& Collections.singleton(Integer.toString(geonameId)));<sep>        if (userName != null) {<sep>            requestProperties.put(HierarchyRequestPorpertyEnum.username@& Collections.singleton(userName));<sep>            //add the token only if also the user name was added<sep>            // ... we would not like to use the token of an other user name<sep>            if (token != null) {<sep>                requestProperties.put(HierarchyRequestPorpertyEnum.token@& Collections.singleton(token));<sep>            }<sep>        }<sep>        boolean first = true;<sep>        for (HierarchyRequestPorpertyEnum entry : HierarchyRequestPorpertyEnum.values()) {<sep>            if (entry.getProperty().encode(requestString@& first@& requestProperties.get(entry)) && first) {<sep>                first = false; // if the first parameter is added set first to false<sep>            }<sep>        }<sep>        URL requestUrl;<sep>        try {<sep>            requestUrl = new URL(requestString.toString());<sep>            log.info("" > hierarchy request: "" + requestUrl);<sep>        } catch (MalformedURLException e) {<sep>            throw new IllegalStateException(""Unable to build valid request URL for "" + requestString);<sep>        }<sep>        long start = System.currentTimeMillis();<sep>        String result = IOUtils.toString(requestUrl.openConnection().getInputStream());<sep>        long responseTime = System.currentTimeMillis() - start;<sep>        if (responseTime > 1000) {<sep>            log.info(""    - responseTime: "" + responseTime + ""ms"");<sep>        } else {<sep>            log.debug(""    - responseTime: "" + responseTime + ""ms"");<sep>        }<sep>        try {<sep>            JSONObject root = new JSONObject(result);<sep>            if (root.has(""geonames"")) {<sep>                List<Toponym> results = new ArrayList<Toponym>();<sep>                JSONArray resultList = root.getJSONArray(""geonames"");<sep>                for (int i = 0; i < resultList.length(); i++) {<sep>                    results.add(new Toponym(resultList.getJSONObject(i)));<sep>                }<sep>                return results;<sep>            } else { // illegal Response throw exception<sep>                // test if we can get the error by parsing the status field<sep>                String msg = null;<sep>                if (root.has(""status"")) {<sep>                    JSONObject status = root.getJSONObject(""status"");<sep>                    if (status.has(""message"")) {<sep>                        msg = status.getString(""message"");<sep>                    }<sep>                }<sep>                if (msg == null) {<sep>                    msg = ""Unable to parse results form Response "" + root;<sep>                }<sep>                throw new IOException(msg);<sep>            }<sep>        } catch (JSONException e) {<sep>            log.error(""Unable to parse Response for Request "" + requestUrl);<sep>            log.error(""ResponseData:  changelines "" + result);<sep>            throw new IOException(""Unable to parse JSON from Results for Request "" + requestUrl@& e);<sep>        }<sep>    }",// if the first parameter is added set first to false,SameLineComment,first=false;,( expressionstatement ( assignment ( simplename first ) simplename ( booleanliteral ) booleanliteral ) assignment ) expressionstatement,@&first,&&ExpressionStatement
Foundry.json,rebuild,/home/wangzhi/repos/Foundry/Components/CommonCore/Source/gov/sandia/cognition/math/geometry/Quadtree.java,    protected void rebuild()<sep>    {<sep>        this.root = null;<sep>        <sep>        // Compute the quadtree bounds.<sep>        Rectangle2D.Double bounds = this.computeBounds(this.items);<sep>        <sep>        // Create the root node.<sep>        this.root = new Node(null@& bounds);<sep>        this.root.getLocalItems().addAll(this.items);<sep>        <sep>        // Start the splitting of the root node@& if required.<sep>        if (this.shouldSplit(this.root))<sep>        {<sep>            this.split(this.root);<sep>        }<sep>    },// Start the splitting of the root node@& if required.,LineComment,if (this.shouldSplit(this.root)) {<sep>  this.split(this.root);<sep>},( ifstatement ( methodinvocation ( thisexpression ) thisexpression ( simplename shouldsplit ) simplename ( fieldaccess ( thisexpression ) thisexpression ( simplename root ) simplename ) fieldaccess ) methodinvocation ( block ( expressionstatement ( methodinvocation ( thisexpression ) thisexpression ( simplename split ) simplename ( fieldaccess ( thisexpression ) thisexpression ( simplename root ) simplename ) fieldaccess ) methodinvocation ) expressionstatement ) block ) ifstatement,@&split@&shouldSplit@&root,&&IfStatement
nb-springboot.json,keyPressed,/home/wangzhi/repos/nb-springboot/src/main/java/com/github/alexfalappa/nbspringboot/projects/customizer/CfgPropsDialog.java,@Override<sep>        public void keyPressed(KeyEvent e) {<sep>            final int keyCode = e.getKeyCode();<sep>            if (keyCode == KeyEvent.VK_ESCAPE) {<sep>                final String filter = txtField.getText();<sep>                if (filte,// wrap if needed,LineComment,if (selIdx < 0) {<sep>  selIdx+=size;<sep>}<sep> else if (selIdx >= size) {<sep>  selIdx-=size;<sep>}break;,( ifstatement ( infixexpression ( simplename selidx ) simplename ( numberliteral ) numberliteral ) infixexpression ( block ( expressionstatement ( assignment ( simplename selidx ) simplename ( simplename size ) simplename ) assignment ) expressionstatement ) block ( ifstatement ( infixexpression ( simplename selidx ) simplename ( simplename size ) simplename ) infixexpression ( block ( expressionstatement ( assignment ( simplename selidx ) simplename ( simplename size ) simplename ) assignment ) expressionstatement ) block ) ifstatement ) ifstatement,@&size@&selIdx,&&IfStatement&&BreakStatement
